State,Area,Ever_Tob_Use,Curr_Tob_Use,Ever_Smoke,Curr_Smoke,Ever_Cig,Curr_Cig,Ever_Bidi,Curr_Bidi,Seen_Cig_Ads_POS,Taught_Tob_Effects,Hard_To_Quit,SHS_Harmful,Ban_Indoor,Ban_Outdoor,Aware_COTPA,Fine_Auth,Tobacco_Free_Guideline,Aware_Board_Policy
Gujarat,Rural,15,6.1,9.8,5.9,5.5,4,6.6,3.9,18.9,43.5,25.5,68,58.5,57.1,95,55,85,90
Haryana,Total,10.6,3.8,5.4,2.7,1.5,0.8,1.9,0.7,13.8,35.4,28.4,72.2,63.4,67.2,96.8,58.1,90.3,83.9
Haryana,Urban,12.9,5.6,7.9,4.3,2.1,1.3,2.5,1,17.5,33.1,28.1,68.2,62.4,64.2,91.7,66.7,91.7,75
Haryana,Rural,9,2.6,3.7,1.7,1.1,0.5,1.6,0.5,11.4,37,28.6,74.8,64,69.2,100,52.6,89.5,89.5
Himachal Pradesh,Total,33.4,1,5.5,0.5,1.3,0.1,2.2,0.1,10.8,30,19.6,59.9,52.6,55.8,77.8,25.9,81.5,77.8
Himachal Pradesh,Urban,11.7,1.4,4.1,0.3,2.9,0.3,2.1,0.3,13.8,35.1,29.3,73.9,68.8,69.5,50,12.5,75,62.5
Himachal Pradesh,Rural,36.3,1,5.7,0.5,1,0.1,2.3,0.1,10.4,29.3,18.2,58,50.4,54,89.5,31.6,84.2,84.2
Jharkhand,Total,24.6,5.1,9,3.6,3.7,1.1,4.5,1.7,15.2,36.1,20.5,62.1,49.4,52.3,90.6,43.8,93.8,90.6
Jharkhand,Urban,10.6,2.4,4.3,2.1,2.4,0.8,1.5,1.1,16.2,45.4,39.4,85.5,81.5,81.6,100,50,83.3,100
Jharkhand,Rural,27,5.6,9.8,3.9,3.9,1.1,5,1.8,15,34.6,17.3,58.2,44,47.3,88.5,42.3,96.2,88.5
Karnataka,Total,3.8,1.2,2.6,0.5,1.6,0.5,1,0.5,18.2,41.2,43.7,69.4,69.4,69.1,96.8,16.1,64.5,96.8
Karnataka,Urban,0.1,0,0.1,0,0,0,0,0,0.2,0.3,0.4,99.1,99.2,99.2,92.3,15.4,92.3,100
Karnataka,Rural,3.8,1.2,2.6,0.5,1.6,0.5,1,0.5,18.3,41.3,43.8,69.3,69.3,69,100,16.7,44.4,94.4
Kerala,Total,13,3.2,9.3,2.4,7.1,2,4.8,0.9,18.9,35.9,40,82.8,86.2,84.8,93.8,40.6,96.9,87.5
Kerala,Urban,6.2,1.7,4.9,1,3.9,0.9,2.4,0.1,13.1,37.9,44,83.9,82.7,83.4,88.9,22.2,100,88.9
Kerala,Rural,14.2,3.5,10.1,2.7,7.6,2.2,5.2,1.1,20,35.6,39.3,82.5,86.9,85.1,95.7,47.8,95.7,87
Lakshadweep,Total,23.3,8.1,13.4,6.6,8.4,4,7,2.9,26.9,35.3,34.2,74.1,70.2,70.4,93.3,53.3,86.7,93.3
Lakshadweep,Urban,13.6,6.1,7.1,3.7,4,2.6,4.9,2.7,35.6,42.6,33,76.6,73.2,74.9,100,50,75,75
Lakshadweep,Rural,25.8,8.6,15.1,7.3,9.6,4.4,7.6,2.9,24.7,33.3,34.5,73.5,69.4,69.2,90.9,54.6,90.9,100
Madhya Pradesh,Total,10.3,3.9,5.9,3.7,2.4,2.2,3.2,1.6,18.7,35.5,15.8,67.1,52.2,55.4,94.1,41.2,97.1,97.1
Madhya Pradesh,Urban,10.7,3.3,5.2,2.6,1.2,0.4,2,0.4,11.8,25.5,19.7,68.3,60.5,62.4,100,54.6,100,100
Madhya Pradesh,Rural,10.2,4,6,3.9,2.6,2.5,3.4,1.8,19.6,36.9,15.3,66.9,51,54.4,91.3,34.8,95.7,95.7
Maharashtra,Total,16.4,5.1,7.7,4,3.1,1.4,3.7,1.6,24.4,36.4,29.2,74.8,60.6,60.8,85.7,28.6,88.6,100
Maharashtra,Urban,15.3,5.7,8,4.3,3.8,1.9,4.2,2.2,22.3,32.9,30.3,75.5,62.2,65.7,88.2,17.7,82.4,100
Maharashtra,Rural,17.4,4.6,7.4,3.6,2.4,0.9,3.2,0.9,26.5,40.1,28,74.2,59,55.8,83.3,38.9,94.4,100
Manipur,Total,41,19.5,22.4,13.4,17,7.3,11.8,7.3,11.9,28.4,28.2,77.1,69.9,72.4,75,37.5,70.8,75
Manipur,Urban,43,16.8,23.9,11,20.5,10.6,8.2,1.4,8.5,21.7,23.7,70.4,61.1,60,100,80,100,100
Manipur,Rural,40.3,20.5,21.8,14.3,15.6,5.9,13.3,9.7,13.2,31,30,79.7,73.5,77.4,68.4,26.3,63.2,68.4
Meghalaya,Total,47,33.6,35.4,27.1,25.1,19.2,19.6,15.1,23.7,49.2,39.9,62.6,70.7,78.7,95.8,45.8,87.5,91.7
Meghalaya,Urban,61.7,35.1,36.7,20.8,30.6,16.9,14.2,6.7,8.4,60.4,48.8,76.6,83.1,84.3,100,66.7,100,100
Meghalaya,Rural,42.7,33.2,35,29,23.6,19.9,21.2,17.5,28.2,46,37.4,58.6,67.1,77,94.4,38.9,83.3,88.9
Mizoram,Total,89.7,57.9,83,43.6,76.9,35.3,19.7,4.6,17.3,55.5,63.1,83.7,85.9,88.6,95.2,57.1,76.2,81
Mizoram,Urban,88.7,59.6,81.9,44.5,76.8,37.3,20.2,4.7,20.4,60.6,65.3,88.7,86.6,92.1,91.7,50,66.7,75
Mizoram,Rural,91.1,55.8,84.5,42.4,77.1,32.7,19.1,4.3,13.3,48.7,60.2,77.1,85.1,83.9,100,66.7,88.9,88.9
Nagaland,Total,68.3,42.6,42.7,26.5,36.4,20.4,29.1,20.8,28.4,42.4,35.8,70.6,80.4,61.5,95.7,69.6,82.6,100
Nagaland,Urban,64.2,37.4,38.7,22.5,32.7,16.4,22.5,15.1,28.1,43.7,37.4,75.5,82.4,69.1,91.7,75,75,100
Nagaland,Rural,71.5,46.8,45.9,29.7,39.4,23.6,34.3,25.3,28.7,41.3,34.6,66.7,78.8,55.4,100,63.6,90.9,100
Odisha,Total,17.9,6.2,11.5,4.6,4.8,1.6,4.2,1.9,39.2,26,21.8,61.9,46.3,42.6,59.4,37.5,56.3,37.5
Odisha,Urban,16.9,5.3,9,3.8,5,1.8,2.1,0.7,33,34.7,16.8,64.6,51.8,50.1,80,60,60,60
Odisha,Rural,18.1,6.4,12,4.8,4.8,1.5,4.6,2.1,40.3,24.5,22.7,61.4,45.3,41.3,55.6,33.3,55.6,33.3
